Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация,Управление климатом,Салон,Подушки безопасности,Шторки,Мультимедиа и навигацияUSB,Электрический,Усилитель руля,Противоугонная система,Обогрев,Электростеклоподъемники,Активная безопасность,Курсовая устойчивость,Зеркал,Антиблокировка тормозов,Кожаный руль,Фронтальные,ПТС,Иммобилайзер,Центральный замок,Гидравлический,Коленные,Сигнализация,Управление на руле,Боковые передние,Люк
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2649000,"Москва, Дмитровское ш., 98с1",2024,I рестайлинг (2023—2024),Не битый,1.5 4WD DCT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Красный,Левый,XZGF*************,,Premium,Климат-контроль многозонный,,Фронтальные,Боковые передние,,,Электрический,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2349000,"Краснодарский край, Краснодар, ул. Дзержинского, 102",2024,I рестайлинг (2023—2024),Не битый,1.5 4WD DCT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,Tech+,Климат-контроль многозонный,,Фронтальные,Боковые передние,,,Электрический,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",2399000,"Челябинская обл., Челябинск, Свердловский тракт, 5Р",2023,I (2021—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Premium,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2199000,"Самарская обл., Тольятти, Воскресенская ул., 16",2024,I рестайлинг (2023—2024),Не битый,1.5 DCT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,LGWE*************,Возможен,,Климат-контроль однозонный,Ткань,,,,,,,,,,,,,Подушки безопасности,Шторки,,,,,,,,,
"Haval M6 1.5 AMT, 2023 Новый","4,9",2299000,"Оренбургская обл., Оренбург, ул. Монтажников, 16/4",2023,II (2020—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Серебряный,Левый,XZGE*************,,Family,Климат-контроль однозонный,,Фронтальные,,,,Гидравлический,,,,,,,,,,Электронный,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2249000,"Нижегородская обл., Нижний Новгород, пр-т Гагарина, 65А",2024,I рестайлинг (2023—2024),Не битый,1.5 4WD DCT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Голубой,Левый,XZGF*************,Возможен,Elite,Климат-контроль однозонный,Ткань,,,,,,Центральный замок,,,,,,Курсовая устойчивость,,,,Активная безопасность,,,,,,,
"Haval F7x 2.0 AMT, 2023 Новый","4,6",2679000,"Республика Башкортостан, Уфа, ул. Маршала Жукова, 16",2023,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Красный,Левый,XZGF*************,,,Климат-контроль многозонный,Комбинированный,,,,,,,,,,,,,Подушки безопасности,Боковые передние,,,,,,,,,
"Haval F7 2.0 AMT, 2024 Новый","4,5",2949000,"Воронежская обл., Воронеж, ул. Изыскателей, 29к2",2024,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Tech Plus,Климат-контроль многозонный,,,,,,Гидравлический,Центральный замок,,,,,,,,Боковые передние,,Подушки безопасности,,,,,,,
"Haval Dargo X 2.0 AMT, 2023 Новый","5,0",3269000,"Воронежская обл., Воронеж, А-134, 7-й километр, 3А",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,LGWF*************,Возможен,X Premium,Климат-контроль многозонный,Комбинированный,,,,,,Сигнализация,,,,,,,Люк,,,,Иммобилайзер,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","4,4",2649000,"Ставропольский край, Минераловодский муниципальный округ, хутор Красный Пахарь, Автомобильная ул., 17",2024,I (2021—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,XZGF*************,,Premium,,,Фронтальные,,,,,,,,Антиблокировка тормозов,Усилитель руля,,,,,,,,Управление климатом,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",2319000,"Республика Татарстан, Казань, Горьковское ш., 47к1",2023,I (2021—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,Кожа,,,,,,,,,,,,,Подушки безопасности,Шторки,,,,,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",2319000,"Республика Татарстан, Альметьевский р-н, муниципальное образование Альметьевск, Альметьевск",2023,I (2021—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Голубой,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,Кожа,,,,,,,,,,,,,Подушки безопасности,Шторки,,,,,,,,,
"Haval Dargo 2.0 AMT, 2024 Новый","4,0",3399000,"Московская обл., Мытищи, Ярославское ш., вл2Вс3",2024,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Tech Plus,,Кожа,Фронтальные,,,,,,,,,,,,Люк,,,,,,Боковые передние,,,,
"Haval F7 2.0 AMT, 2024 Новый","4,5",2572060,"Рязанская обл., Рязань, Московское ш., 22Б",2024,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Синий,Левый,XZGF*************,Возможен,Elite,Климат-контроль многозонный,Комбинированный,,,,,,,,,,,,,Противоугонная система,,,,,,,Центральный замок,,,
"Haval M6 1.5 AMT, 2023 Новый","4,9",1999000,"Краснодарский край, Краснодар, Горячеключевская ул., 5",2023,II (2020—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,LGWE*************,Возможен,Family,Климат-контроль однозонный,,,,,,Гидравлический,Сигнализация,,,,,,,,,,,Иммобилайзер,,,,,,
"Haval F7x 2.0 AMT, 2024 Новый","4,6",2999000,"Мурманская обл., Мурманск, Кольский пр-т, 118",2024,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,,Elite,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","5,0",2299000,"Самарская обл., Тольятти, Новозаводская ул., 2Гс3",2023,I рестайлинг (2023—2024),Не битый,1.5 DCT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,LGWE*************,,Elite,Климат-контроль однозонный,,Фронтальные,Боковые передние,,,Электрический,,,,,,,,,,Электронный,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2699000,"Челябинская обл., Магнитогорск, Советская ул., 160В",2024,I рестайлинг (2023—2024),Не битый,1.5 4WD DCT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,XZGF*************,Возможен,Tech+,Климат-контроль многозонный,Кожаный руль,Фронтальные,Боковые передние,,,,,,,,,,,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",2600000,"Москва, ул. Обручева, 27к1",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Tech Plus,Климат-контроль многозонный,Комбинированный,,,,,,Сигнализация,,,,,,,Люк,,,,Иммобилайзер,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",2299000,"Вологодская обл., Череповец, Октябрьский пр-т, 31",2024,I рестайлинг (2023—2024),Не битый,1.5 DCT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,XZGE*************,,,,,,,,,,,,,,,,,,,Электронный,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3579000,"Республика Башкортостан, Уфа, пр-т Салавата Юлаева, 89",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,Tech Plus,Климат-контроль многозонный,,Фронтальные,,,,Электрический,,,,,,,,,,,,,,Шторки,,Атермальное остекление,Боковые задние,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",2780000,"Краснодарский край, Сочи, мкр-н КСМ, Кипарисовая ул., 16",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,LGWF*************,Возможен,Premium,Климат-контроль многозонный,Комбинированный,Фронтальные,Боковые передние,,,,,,,,,,,Люк,,,,,,,,,,
"Haval F7 1.5 AMT, 2023 Новый","4,5",2279000,"Республика Башкортостан, Уфа, Трамвайная ул., 1/4",2023,I рестайлинг (2022—2024),Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,Elite,Климат-контроль многозонный,,Фронтальные,Боковые передние,,,Электрогидравлический,,,,,,,,,,Электронный,,,,,,,,
"Haval F7x 2.0 AMT, 2024 Новый","4,6",3099000,"Нижегородская обл., Кстовский муниципальный округ, д. Афонино, Магистральная ул., 3",2024,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,,Premium,Климат-контроль многозонный,Кожа,,,,,,Сигнализация,,,,,,,Люк,,,,Иммобилайзер,,,,,,
"Haval M6 1.5 AMT, 2023 Новый","4,9",1954150,"Самарская обл., Самара, ул. Авроры, 150Е",2023,II (2020—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Серый,Левый,LGWE*************,Возможен,Family,,,,,,,,,Передних сидений,Передние и задние,Антиблокировка тормозов,Экстренное торможение,,,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2024 Новый","4,0",2448790,"Ярославская обл., Ярославль, Ленинградский пр-т, 33",2024,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,,,,,,Электрический,Сигнализация,,,,,,,,,,,,,,,,,
"Haval F7x 1.5 AMT, 2024 Новый","4,6",2599000,"Краснодарский край, Краснодар, Центральный внутригородской округ, мкр-н Центральный, Береговая ул.",2024,I рестайлинг (2022—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,Кожаный руль,,,,,,,,,,,,,,Шторки,,,,,,,,,Подушки безопасности
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",1969000,"Краснодарский край, Краснодар, Карасунский внутригородской округ, жилой массив Пашковский, Крайняя ул., 84",2023,I (2021—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,XZGE*************,,Premium,Климат-контроль многозонный,Кожа,,,,,,,,,,,,,Противоугонная система,,,,,,,Центральный замок,,,
"Haval F7x 2.0 AMT, 2023 Новый","4,6",2257090,"Архангельская обл., Архангельск, Московский пр-т, 35",2023,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,Кожаный руль,,,,,,,,,,,,,,Шторки,,,,,,,,,Подушки безопасности
"Haval Jolion 1.5 AMT, 2024 Новый","4,4",1799000,"Санкт-Петербург, Софийская ул., 2Б",2024,I (2021—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Серый,Левый,LGWE*************,Возможен,Elite,,,,,,,,,Передних сидений,,,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3289000,"Челябинская обл., Челябинск, ул. Братьев Кашириных, 141",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,LGWF*************,Возможен,Tech Plus,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval F7x 2.0 AMT, 2023 Новый","4,6",2979000,"Вологодская обл., Вологда, Копрецовская ул., 1",2023,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Синий,Левый,XZGE*************,,Elite,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval F7 1.5 AMT, 2023 Новый","4,5",2579000,"Оренбургская обл., Оренбург, ул. 10-й км",2023,I рестайлинг (2022—2024),Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,Elite,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval F7 2.0 AMT, 2024 Новый","4,5",2369000,"Москва, Ставропольская ул., 41",2024,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Синий,Левый,XZGF*************,,Premium,Климат-контроль многозонный,Кожаный руль,,,,,,,,,,,,,,Шторки,,,,,,,,,Подушки безопасности
"Haval F7x 1.5 AMT, 2024 Новый","4,6",2749000,"Краснодарский край, Краснодар, ул. Дзержинского, 102",2024,I рестайлинг (2022—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,XZGF*************,Возможен,Premium,Климат-контроль многозонный,Кожаный руль,,,,,,,,,,,,,,Шторки,,,,,,,,,Подушки безопасности
"Haval M6 1.5 AMT, 2023 Новый","4,9",2149000,"Челябинская обл., Челябинск, Свердловский тракт, 5Р",2023,II (2020—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Белый,Левый,LGWE*************,Возможен,Family,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3249000,"Самарская обл., Тольятти, Воскресенская ул., 16",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,LGWF*************,Возможен,Tech Plus,Климат-контроль многозонный,Комбинированный,,,,,,Сигнализация,,,,,,,Люк,,,,Иммобилайзер,,,,,,
"Haval Dargo 2.0 AMT, 2024 Новый","4,0",3299000,"Воронежская обл., Воронеж, ул. Изыскателей, 29к2",2024,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Оранжевый,Левый,XZGF*************,Возможен,Tech Plus,Климат-контроль многозонный,,,,,,Гидравлический,Центральный замок,,,,,,,,Боковые передние,,Подушки безопасности,,,,,,,
"Haval F7 2.0 AMT, 2023 Новый","4,5",2529000,"Республика Башкортостан, Уфа, ул. Маршала Жукова, 16",2023,I рестайлинг (2022—2024),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Красный,Левый,XZGF*************,Возможен,,Климат-контроль многозонный,Комбинированный,,,,,,,,,,,,,Подушки безопасности,Боковые передние,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3349000,"Оренбургская обл., Оренбург, ул. Монтажников, 16/4",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,XZGF*************,,,Климат-контроль многозонный,,Фронтальные,,,,Электрический,,,,,,,,,,Оригинал,,,,Шторки,,Атермальное остекление,,
