Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Салон,Кожаный руль,Тёмный,Фары,Усилитель руля,Обогрев,Мультимедиа и навигацияUSBAUXBluetooth,Подушки безопасности,Активная безопасность,Мультимедиа и навигацияMP3USB,Электрический,Мультимедиа и навигацияMP3USBAUXBluetooth,Сигнализация,Управление климатом,Помощь при вождении,Противоугонная система,Электростеклоподъемники,"Шины и диски14""",Заднего стекла,Ткань,Мультимедиа и навигацияMP3,Электропривод,Цвет салона,Атермальное остекление,Мультимедиа и навигацияUSBAUX,Мультимедиа и навигацияUSBBluetooth,Сабвуфер,Мультимедиа и навигацияCD/DVD/Blu-rayMP3
"ВАЗ (LADA) Priora 1.6 MT, 2010, 270 000 км","4,3",330000,"Ульяновская обл., Старомайнский р-н, Краснореченское сельское поселение, с. Красная Река, Советская ул.",2010,I (2007—2013),270 000 км,4 записи в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Седан,Белый,Левый,XTA2*************,Не интересует,,,,,Электрический,,,,Антиблокировка тормозов,,,,,Кондиционер,,Сигнализация,,,,,,,,,,,,
"ВАЗ (LADA) Vesta 1.6 MT, 2020, 190 000 км","4,5",690000,"Санкт-Петербург, Петергофское ш., 51",2020,I (2015—2023),190 000 км,7 записей в отчёте Автотеки,Электронный,3,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Белый,Левый,XTAG*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2007, 247 000 км","4,3",216000,"Саратовская обл., Саратов, Театральная пл.",2007,I (2007—2013),247 000 км,6 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XTA2*************,Не интересует,,,,Противотуманные,Электрический,,,,,,,,,,,,Только передние,,,,РадиоUSBAUXBluetooth,Зеркал,,,,,,
"ВАЗ (LADA) 2112 1.5 MT, 2003, 242 417 км","4,4",75000,"Белгородская обл., Старооскольский г.о., Старый Оскол, пр-т ПромАгро, 3",2003,I (1999—2009),242 417 км,15 записей в отчёте Автотеки,,4+,Не битый,1.5 MT (92 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Коричневый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2007, 235 000 км","4,3",235000,"Владимирская обл., Петушинский р-н, муниципальное образование Покров, Покров, Озёрный пр., 1",2007,I (2007—2013),235 000 км,15 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Зелёный,Левый,XTA2*************,Не интересует,,,,,Электрический,,,,,,,,,,,Центральный замок,Только передние,Обогрев,,,,,Тёмный,,,,,
"ВАЗ (LADA) Vesta Cross 1.6 MT, 2018, 78 500 км","4,5",1075000,"Воронежская обл., Воронеж, ул. Любы Шевцовой",2018,I (2017—2022),78 500 км,14 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe Multimedia,Универсал,Белый,Левый,XTAG*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Kalina 1.6 MT, 2012, 186 563 км","4,4",350000,"Владимирская обл., г.о. Владимир, Октябрьский район",2012,I (2004—2013),186 563 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Универсал,Серебряный,Левый,XTA1*************,Не интересует,,,,,,,,,,,,,,Кондиционер,,,,,,,,,,Усилитель руля,,,,
"ВАЗ (LADA) 2107 1.6 MT, 2004, 85 580 км","4,4",35000,"Республика Татарстан, Набережные Челны, Московский пр-т, 110",2004,I (1982—2012),85 580 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MT (74 л.с.),1.6 л,Бензин,Механика,Задний,,Седан,Синий,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Vesta 1.6 MT, 2024, 25 км","2,9",1080000,"Республика Северная Осетия — Владикавказ, ул. Ватутина",2024,I рестайлинг (2022—2024),25 км,2 записи в отчёте Автотеки,,1,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XTAG*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 4x4 (Нива) 1.7 MT, 2014, 158 000 км","4,4",389000,"Ставропольский край, Минераловодский г.о., Минеральные Воды, пр-т 22-го Партсъезда, 14",2014,I (1977—2019),158 000 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,Standard Image,Внедорожник 3-дверный,Белый,Левый,XTA2*************,Не интересует,Ткань,,,,Гидравлический,,,,,,,,,,,,,,,,,,,,Аудиосистема2 колонки,,,
"ВАЗ (LADA) Priora 1.6 MT, 2013, 170 000 км","4,4",385000,"Пермский край, Пермь, Чердынская ул., 42А",2013,I рестайлинг (2013—2018),170 000 км,17 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Синий,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Granta 1.6 MT, 2016, 153 000 км","4,4",315000,"Пермский край, Пермь, ул. Калинина, 30",2016,I (2011—2018),153 000 км,14 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Серый,Левый,XTA2*************,Не интересует,,,,,Электрический,,,Фронтальные,Антиблокировка тормозов,,,,,Атермальное остекление,,,,,,,,,,,,,,
"ВАЗ (LADA) 2109 1.3 MT, 1994, 44 000 км","4,5",70000,"Тамбовская обл., Мичуринский муниципальный округ, с. Изосимово",1994,I (1987—2011),44 000 км,Проверить в Автотеке,Дубликат,2,Не битый,1.3 MT (64 л.с.),1.3 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Красный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,Светлый,,,,,
"ВАЗ (LADA) Granta 1.6 MT, 2014, 250 000 км","4,4",370000,"Тюменская обл., Тюменский р-н, товарищество собственников недвижимости Серебряный Бор",2014,I (2011—2018),250 000 км,17 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XTA2*************,Возможен,,,,,,,,,,,Салон,,,,,,,,,,,,,,,Аудиосистема6 колонок,Усилитель руля,
"ВАЗ (LADA) Granta 1.6 MT, 2012, 276 000 км","4,4",320000,"Ульяновская обл., Ульяновск, Юго-западная ул.",2012,I (2011—2018),276 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Серый,Левый,XTA2*************,Возможен,Ткань,,,,,,,Фронтальные,,,,,,,,,,,,,,,Тёмный,,,,,
"ВАЗ (LADA) 2107 1.6 MT, 2006, 140 000 км","4,4",145000,"Краснодарский край, Белореченский р-н, Белореченское городское поселение, Белореченск, Центральная пл.",2006,I (1982—2012),140 000 км,Проверить в Автотеке,,3,Не битый,1.6 MT (74 л.с.),1.6 л,Бензин,Механика,Задний,,Седан,Красный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Granta 1.6 AT, 2014, 116 000 км","4,4",690000,"Ставропольский край, Труновский муниципальный округ, с. Донское, ул. Мира",2014,I (2011—2018),116 000 км,2 записи в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (98 л.с.),1.6 л,Бензин,Автомат,Передний,Luxe,Седан,Серый,Левый,XTA2*************,Не интересует,,,,,Электрический,,,,,,,,,Климат-контроль однозонный,,,,,,,,,,,,,,
"ВАЗ (LADA) 2110 1.6 MT, 2006, 180 000 км","4,3",250000,"Челябинская обл., Миасс, Центральный территориальный округ",2006,I (1995—2014),180 000 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Зелёный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2114 Samara 1.6 MT, 2010, 250 000 км","4,1",235000,"Ростовская обл., Ростов-на-Дону, Лермонтовская ул., 227",2010,I (2001—2014),250 000 км,4 записи в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Granta 1.6 MT, 2021, 59 900 км","4,3",745000,"Республика Татарстан, Нижнекамский р-н, муниципальное образование Нижнекамск, Нижнекамск, пл. Лемаева",2021,I рестайлинг (2018—2024),59 900 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Classic,Хетчбек 5-дверный,Коричневый,Левый,XTA2*************,Не интересует,Ткань,,,,Электрический,Заднего стекла,,,Антиблокировка тормозов,,,,,,,,Только передние,,,,,,Тёмный,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2011, 168 000 км","4,3",340000,"Республика Татарстан, Казань, ул. Зур Урам, 1К",2011,I (2007—2013),168 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Не интересует,,,,,Электрический,,,Фронтальные,Антиблокировка тормозов,,,,,Кондиционер,,,,,,,,,,,,,,
"ВАЗ (LADA) 2107 1.6 MT, 2006, 50 000 км","4,4",105000,"Вологодская обл., Вологда, ул. Гагарина, 80Ак4",2006,I (1982—2012),50 000 км,3 записи в отчёте Автотеки,Дубликат,3,Не битый,1.6 MT (74 л.с.),1.6 л,Бензин,Механика,Задний,,Седан,Красный,Левый,XTA2*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2014, 222 222 км","4,4",655000,"Кабардино-Балкарская Республика, Нальчик, пл. 400-летия",2014,I рестайлинг (2013—2018),222 222 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Седан,Чёрный,Левый,XTA2*************,Не интересует,,,,,Электрический,,,,,,,,,Кондиционер,,,,,,,,,,,,,,
"ВАЗ (LADA) Granta 1.6 MT, 2024, 10 км","4,2",1115000,"Ставропольский край, Минераловодский муниципальный округ, Минеральные Воды, пр-т 22-го Партсъезда",2024,I рестайлинг (2018—2024),10 км,,Электронный,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Серый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2114 Samara 1.5 MT, 2007, 330 000 км","4,1",150000,"Краснодарский край, Краснодар, ул. Адмирала Крузенштерна, 5",2007,I (2001—2014),330 000 км,13 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.5 MT (77 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2011, 128 000 км","4,4",365100,"Московская обл., Одинцовский г.о., А-106, подъезд к Успенскому, 8-й километр",2011,I (2007—2013),128 000 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Коричневый,Левый,XTA2*************,Не интересует,,,,,Гидравлический,Зеркал,,,,,,,,,,,,,,,,,,,,,,РадиоTVUSBAUXBluetooth
"ВАЗ (LADA) Vesta 1.6 MT, 2018, 115 000 км","4,5",749000,"Орловская обл., Ливны, ул. Капитана Филиппова",2018,I (2015—2023),115 000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe Multimedia Prestige,Седан,Серый,Левый,XTAG*************,Не интересует,,,,,Электрический,,,Фронтальные,,,,,,Кондиционер,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2009, 220 000 км","4,3",300000,"Краснодарский край, Красноармейский р-н, Трудобеликовское сельское поселение, хутор Зеленский, Первомайская ул., 5",2009,I (2007—2013),220 000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Седан,Белый,Левый,XTA2*************,Возможен,Ткань,,,,Электрический,,,,,,,,,Кондиционер,,,Только передние,,,,,,Тёмный,,,,,
"ВАЗ (LADA) 4x4 (Нива) 1.7 MT, 2002, 205 000 км","4,4",245000,"Республика Башкортостан, Нефтекамск, ул. Карла Маркса",2002,I (1977—2019),205 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 3-дверный,Фиолетовый,Левый,XTA2*************,Не интересует,,,,Противотуманные,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Kalina 1.6 MT, 2012, 149 000 км","4,4",389000,"Саратовская обл., Энгельсский р-н, муниципальное образование Энгельс, Энгельс, ул. Калинина",2012,I (2004—2013),149 000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,Standart,Универсал,Чёрный,Левый,XTA1*************,Не интересует,,,,,Электрогидравлический,,,,,,,,,,,Сигнализация,,,,,,Рулевой колонки,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2012, 200 000 км","4,3",249000,"Ульяновская обл., Ульяновск, ул. Ефремова, 47",2012,I (2007—2013),200 000 км,Проверить в Автотеке,Оригинал,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Бордовый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2114 Samara 1.5 MT, 2005, 195 000 км","4,1",75000,"Владимирская обл., Кольчугинский р-н, муниципальное образование Кольчугино, Кольчугино, ул. Веденеева, 20",2005,I (2001—2014),195 000 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (77 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
