Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Гидравлический,Усилитель руля,Управление климатом,Управление на руле,Салон,Цвет салона,Электростеклоподъемники,Электропривод,Мультимедиа и навигацияCD/DVD/Blu-rayMP3,Подушки безопасности,Коленные,Боковые передние,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Данные о ,О,Передних сидений,Заднего стекла,Передние и задние,Зеркал,Антиблокировка тормозов,Шторки,Обогрев,Задних сидений,Иммобилайзер,Помощь при вождении,Парктроник задний,Бортовой компьютер,Атермальное остекление,Камера заднего вида,Датчик дождя,Круиз-контроль,Боковые задние,Шины и диски,Кожаный руль,Мультимедиа и навигацияUSBAUX,Электрический,Блок. дифференциала,Климат-контроль многозонный,Сигнализация,Мультимедиа и навигацияMP3,Курсовая устойчивость,Мультимедиа и навигация,Тёмный,Обслуживался у дилера,Мультимедиа и навигацияUSBAUXBluetooth,Ксеноновые,Климат-контроль однозонный,РадиоUSB,Ткань,ВидеоUSBAUXBluetoothGPS-навигатор
"Volkswagen Tiguan 1.4 AMT, 2020, 25 373 км","4,8",3000000,"Санкт-Петербург, Замшина ул., 24",2020,II (2016—2020),25 373 км,6 записей в отчёте Автотеки,Электронный,3,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Климат-контроль многозонный,,,,,,,Фронтальные,,Активная безопасность,,,,,,,,,,Экстренное торможение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 MT, 2001, 200 000 км","4,7",180000,"Московская обл., г.о. Красногорск, с. Ангелово, Центральная ул.",2001,III рестайлинг (1999—2001),200 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,WVWZ*************,Не интересует,Иммобилайзер,,,,Гидравлический,,,Ткань,,,,,Фронтальные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 AMT, 2009, 305 000 км","4,8",530000,"Ленинградская обл., Ломоносовский р-н, Виллозское городское поселение, пос. Новогорелово, б-р Десантника Вадима Чугунова, 8к2",2009,V (2005—2011),305 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 DSG (102 л.с.),1.6 л,Бензин,Робот,Передний,Trendline,Седан,Серебряный,Левый,XW8Z*************,Не интересует,,,,,Электрический,Климат-контроль многозонный,,,,,,,,,,Антипробуксовка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1994, 300 000 км","4,5",139000,"Смоленская обл., Смоленск, Пригородная ул.",1994,B4 (1993—1997),300 000 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,1.8 MT (75 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Универсал,Серебряный,Левый,WVWZ*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen LT, 1990","4,5",260000,"Белгородская обл., Ракитянский р-н, пгт. Пролетарский",1990,I (1975—1996),61 980 км,2 записи в отчёте Автотеки,Оригинал,3,Не битый,2.4 D MT (75 л.с.),,Дизель,Механика,Задний,Базовая,Пикап,Оранжевый,Левый,WV2Z*************,,,,,,,,,Кожа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 3.0 AT, 2008, 280 000 км","4,6",1098000,"Нижегородская обл., Нижний Новгород, Южный б-р, 17",2008,I рестайлинг (2006—2010),280 000 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,3.0 V6 TDI AT (224 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,Не интересует,,,,,,Климат-контроль многозонный,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2017, 169 000 км","4,8",1150000,"Республика Дагестан, Махачкала, Лиственная ул.",2017,V рестайлинг (2015—2020),169 000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Климат-контроль однозонный,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 146 000 км","4,8",825000,"Волгоградская обл., Волжский, пл. Труда, 10",2014,V (2009—2015),146 000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Коричневый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Кондиционер,,,Тёмный,,Передних сидений,,,,,,,,,,,,,,,,Передних сидений,Зеркал,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2013, 179 900 км","4,8",725000,"Санкт-Петербург, Пулковское ш., 73к2",2013,V (2009—2015),179 900 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Style,Седан,Серый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2020, 18 000 км","4,7",1650000,"Москва, Новомосковский административный округ, поселение Московский, д. Румянцево, Бизнес Парк Румянцево",2020,VI (2020—2023),18 000 км,Проверить в Автотеке,Электронный,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Exclusive,Лифтбек,Белый,Левый,XW8Z*************,Не интересует,Центральный замок,,Шторки,,Электрический,Кондиционер,,,,,,,,,,,,,,,,,,,,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.4 MT, 2012, 224 000 км","4,8",900000,"Краснодарский край, муниципальное образование Краснодар, садоводческое товарищество Радуга, Малиновая ул.",2012,Mk6 (2008—2012),224 000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,Trendline,Хетчбек 5-дверный,Белый,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 2008, 197 000 км","4,8",650000,"Санкт-Петербург, пр-т Стачек, 92к1",2008,B6 (2005—2010),197 000 км,5 записей в отчёте Автотеки,,3,Не битый,1.8 TSI MT (160 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Синий,Левый,XW8Z*************,Не интересует,,,,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,Датчик дождя,Круиз-контроль,Усилитель руля,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2014, 155 000 км","4,8",969000,"Московская обл., Красногорск, Красногорский б-р, 10",2014,V (2009—2015),155 000 км,13 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Кондиционер,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1997, 190 000 км","4,6",230000,"Смоленская обл., Вяземский р-н, Вяземское городское поселение, Вязьма, ул. 25 Октября",1997,B5 (1996—2001),190 000 км,16 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (125 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2012, 99 000 км","4,8",1400000,"Самарская обл., Самара, пр-т Кирова, 435",2012,I рестайлинг (2011—2019),99 000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,Sport&Style,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Не интересует,,,Боковые передние,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Multivan 2.0 MT, 2011, 96 500 км","4,3",2300000,"Московская обл., Истра, мкр-н Южный, Охотничий пр., 7",2011,T5 рестайлинг (2009—2015),96 500 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TDI MT (84 л.с.),2 л,Дизель,Механика,Передний,Startline,Минивэн,Серебряный,Левый,WV2Z*************,Не интересует,,,Коленные,,Гидравлический,Климат-контроль многозонный,Подушки безопасности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2021, 150 000 км","4,7",1450000,"Чеченская Республика, Шалинский муниципальный р-н, Шалинское городское поселение, Шали",2021,VI (2020—2023),150 000 км,7 записей в отчёте Автотеки,Электронный,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Respect,Лифтбек,Серый,Левый,XW8Z*************,Не интересует,,,,,Электрогидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,Активная безопасность,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2012, 150 890 км","4,8",1350000,"Чувашская Республика, Чебоксары, пр-т Тракторостроителей, 89",2012,I рестайлинг (2011—2019),150 890 км,35 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,Track&Field,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2014, 114 899 км","4,8",1050000,"Санкт-Петербург, Петродворцовый р-н, Петергоф, Бабигонское ш.",2014,V (2009—2015),114 899 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 1.6 MT, 2014, 247 000 км","4,8",780000,"Архангельская обл., Северодвинск, Полярная ул.",2014,VI (2010—2015),247 000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Кондиционер,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Amarok 2.0 AT, 2012, 466 000 км","4,7",1400000,"Пермский край, Чернушинский г.о., Чернушка, ул. Ленина",2012,I (2010—2016),466 000 км,17 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 TDI 4Motion AT (180 л.с.),2 л,Дизель,Автомат,Полный,,Пикап,Белый,Левый,WV1Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2020, 118 000 км","4,8",1179000,"Краснодарский край, Армавир, ул. Поветкина",2020,V рестайлинг (2015—2020),118 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Электрический,Кондиционер,,Ткань,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Caddy 1.2 MT, 2011, 124 500 км","4,5",1025000,"Московская обл., Балашиха, Мирской пр., 3",2011,III рестайлинг (2010—2015),124 500 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.2 TSI MT (105 л.с.),1.2 л,Бензин,Механика,Передний,Comfortline,Минивэн,Чёрный,Левый,WV2Z*************,Не интересует,,,,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 3.0 AT, 2010, 258 234 км","4,9",1489000,"Санкт-Петербург, Фрунзенский район, муниципальный округ Волковское",2010,II (2010—2014),258 234 км,2 записи в отчёте Автотеки,,2,Не битый,3.0 TDI 4Motion AT (240 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,,,,,,Электрический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,,,,,,,,Датчик дождя,Парктроник передний,,,Круиз-контроль,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2017, 252 000 км","4,8",847000,"Чеченская Республика, Урус-Мартановский р-н, Гехинское сельское поселение, с. Гехи, ул. Асланбека Шерипова",2017,V рестайлинг (2015—2020),252 000 км,4 записи в отчёте Автотеки,,2,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Life,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,Атермальное остекление,Кожаный руль,,,,,,,,,,,,,,,,,,,,,,Автоматический парковщик,Парктроник передний,,,,Датчик света,Управление климатом,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AT, 2002, 199 000 км","4,7",350000,"Мурманская обл., Мурманск, ул. Папанина, 21",2002,B5 рестайлинг (2000—2005),199 000 км,7 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AT (170 л.с.),1.8 л,Бензин,Автомат,Передний,Базовая,Седан,Красный,Левый,WVWP*************,Возможен,,,,Управление климатом,,,,,,,,,Фронтальные,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,Усилитель руля,,,,,,,,,,,,,,,,,,
