Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Электростеклоподъемники,Активная безопасность,Антипробуксовка,Гидравлический,Противоугонная система,Подушки безопасности,Коленные,Управление климатом,Управление на руле,Усилитель руля,Кожа,Боковые передние,Салон,Кожаный руль,Память настроек,Зеркал,Цвет салона,Обогрев,Электропривод,Помощь при вождении,Парктроник задний,Центральный замок,Атермальное остекление,Складывания зеркал,Круиз-контроль,Люк,Тёмный,Задних сидений,Только передние,Распред. тормозных усилий,Обнаружение пешеходов,Сигнализация
"BMW X1 2.0 AT, 2020, 38 800 км","5,0",4300000,"Краснодарский край, Краснодар, Фестивальный мкр-н, жилой комплекс Тургенев",2020,F48 рестайлинг (2019—2023),38 800 км,8 записей в отчёте Автотеки,Электронный,1,Не битый,20i 2.0 xDrive Steptronic (192 л.с.),2 л,Бензин,Автомат,Полный,M Sport,Внедорожник 5-дверный,Синий,Левый,X4X1*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X5 4.4 AT, 2011, 124 400 км","4,9",2200000,"Свердловская обл., Екатеринбург, Восточная ул., 19А",2011,E70 рестайлинг (2010—2013),124 400 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,50i 4.4 AT (407 л.с.),4.4 л,Бензин,Автомат,Полный,M Sport,Внедорожник 5-дверный,Синий,Левый,X4XZ*************,,,,,,,,,Управление на руле,,,,,Кожаный руль,,Передних сидений,Рулевой колонки,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2013, 142 000 км","4,8",2250000,"Москва, Юго-Восточный административный округ, район Выхино-Жулебино, 5-й мкр-н Жулебина",2013,F30/F31 (2011—2015),142 000 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,320d 2.0 xDrive AT (184 л.с.),2 л,Дизель,Автомат,Полный,Sport Line,Седан,Коричневый,Левый,WBA3*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 2.0 AT, 2014, 161 000 км","5,0",1980000,"Московская обл., Наро-Фоминский г.о., Апрелевка, Ясная ул., 5",2014,F10/F11 рестайлинг (2013—2017),161 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,520i 2.0 AT (184 л.с.),2 л,Бензин,Автомат,Задний,Базовая,Седан,Белый,Левый,X4X5*************,Не интересует,Передние и задние,,,,,,,,,,,,,,,Руля,Тёмный,Передних сидений,Передних сидений,Датчик дождя,Парктроник передний,,,,,,,,,,,
"BMW 1 серия 1.6 AT, 2012, 103 000 км","4,6",1400000,"Московская обл., Мытищи, 2-я Институтская ул., 26",2012,F20/F21 (2011—2015),103 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,118i 1.6 Steptronic (170 л.с.),1.6 л,Бензин,Автомат,Задний,Базовая,Хетчбек 5-дверный,Белый,Левый,WBA1*************,Не интересует,,Антиблокировка тормозов,,,,,,Кондиционер,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,
"BMW X6 M 4.4 AT, 2020, битый, 68 700 км","5,0",8500000,"Республика Башкортостан, Уфа, ул. Гали Ибрагимова, 5",2020,F96 (2019—2023),68 700 км,8 записей в отчёте Автотеки,Оригинал,1,Битый,4.4 AT (600 л.с.),4.4 л,Бензин,Автомат,Полный,Special Edition,Внедорожник 5-дверный,Серый,Левый,WBSC*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2023, 650 км","5,0",6400000,"Чеченская Республика, Грозный, пр-т В.В. Путина",2023,G20/G21 рестайлинг (2022—2024),650 км,,,1,Не битый,320i 2.0 Steptronic (184 л.с.),2 л,Бензин,Автомат,Задний,M Sport,Седан,Серый,Левый,WBA6*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X6 3.0 AT, 2010, 199 950 км","4,7",2400000,"Кировская обл., Киров, Московская ул., 140Б",2010,E71 (2007—2012),199 950 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,35d 3.0 AT (286 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WBAF*************,Возможен,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Электрогидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW 5 серия 2.5 MT, 1998, 250 000 км","4,8",860000,"Орловская обл., Орёл, Октябрьская ул.",1998,E39 (1995—2000),250 000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,523i 2.5 MT (170 л.с.),2.5 л,Бензин,Механика,Задний,Базовая,Седан,Зелёный,Левый,WBAD*************,Не интересует,,,,,Центральный замок,Фронтальные,,Климат-контроль многозонный,Атермальное остекление,Гидравлический,,,,,,,,,,,,,,,,,,,,,,
"BMW X4 2.0 AT, 2019, 77 850 км","4,8",4590000,"Санкт-Петербург, территория Шувалово",2019,G02 (2018—2021),77 850 км,7 записей в отчёте Автотеки,Оригинал,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,xLine,Внедорожник 5-дверный,Серый,Левый,WBAV*************,,,,,,,,,Управление на руле,,Электрогидравлический,,,,,,,,,,,,,Память настроек,,,,,,,,,
"BMW X7 3.0 AT, 2020, 77 000 км","4,9",7690000,"Москва, Давыдковская ул., 3",2020,G07 (2018—2022),77 000 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,40i 3.0 xDrive Steptronic (340 л.с.),3 л,Бензин,Автомат,Полный,M Sport Edition 21,Внедорожник 5-дверный,Синий,Левый,5UXC*************,Возможен,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Электрогидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW M5 4.4 AT, 2019, 79 800 км","4,9",9000000,"Москва, Восточный административный округ, район Новокосино",2019,F90 (2017—2020),79 800 км,19 записей в отчёте Автотеки,Оригинал,4+,Не битый,4.4 AT (625 л.с.),4.4 л,Бензин,Автомат,Полный,M5 Competition,Седан,Белый,Левый,WBSJ*************,Не интересует,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Гидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW 5 серия 2.0 AT, 2014, 185 000 км","5,0",2600000,"Краснодарский край, Краснодар, мкр-н Авиагородок, жилой комплекс На Стахановской",2014,F10/F11 рестайлинг (2013—2017),185 000 км,5 записей в отчёте Автотеки,Дубликат,3,Не битый,520d 2.0 AT (190 л.с.),2 л,Дизель,Автомат,Задний,SE Локальная сборка,Седан,Белый,Левый,X4X5*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 4 серия Gran Coupe 2.0 AT, 2017, 121 149 км","5,0",2799000,"Краснодарский край, Новороссийск, ул. Мира, 1",2017,F36 рестайлинг (2017—2020),121 149 км,5 записей в отчёте Автотеки,Электронный,2,Не битый,430i 2.0 Steptronic (249 л.с.),2 л,Бензин,Автомат,Задний,Base,Лифтбек,Серый,Левый,WBA4*************,Не интересует,,,,,,Фронтальные,Шторки,Климат-контроль многозонный,,Гидравлический,,Боковые задние,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 2.0 MT, 1997, 350 000 км","4,8",265000,"Липецкая обл., Липецк, посёлок Дачный, ул. Писарева, 75",1997,E39 (1995—2000),350 000 км,19 записей в отчёте Автотеки,Оригинал,4+,Не битый,520i 2.0 MT (150 л.с.),2 л,Бензин,Механика,Задний,Базовая,Седан,Чёрный,Левый,WBAD*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2010, 140 000 км","4,4",1050000,"Мелитопольский р-н, Мелитопольская городская община, Мелитополь, пл. Победы, 2",2010,E90/E91/E92/E93 рестайлинг (2008—2013),140 000 км,25 записей в отчёте Автотеки,Дубликат,4+,Не битый,320i 2.0 AT (156 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Серебряный,Левый,X4XP*************,Возможен,,,,,,,,Климат-контроль многозонный,,,,,Кожа,Электропривод,,,,,,,,,,Помощь при вождении,Бортовой компьютер,,,,,,,
"BMW 5 серия 2.5 AT, 2005, 365 000 км","4,7",1061000,"Краснодарский край, Краснодар, Сергиевская ул., 51",2005,E60/E61 (2002—2007),365 000 км,14 записей в отчёте Автотеки,Дубликат,3,Не битый,525i 2.5 AT (192 л.с.),2.5 л,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,X4XN*************,Не интересует,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Гидравлический,,,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 3.0 AT, 2017, 148 000 км","4,9",3450000,"Минск, пр-т Независимости",2017,G30/G31 (2016—2020),148 000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,540i 3.0 Steptronic (340 л.с.),3 л,Бензин,Автомат,Задний,Base,Седан,Серый,Левый,WBAJ*************,,,,,,Сигнализация,,,Климат-контроль многозонный,,,,,Кожа,Люк,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW M6 4.4 AMT, 2014, 75 000 км",Отсутствует,4700000,"Чеченская Республика, Гудермесский р-н, Гудермесское городское поселение, Гудермес",2014,F06/F13/F12 (2012—2015),75 000 км,12 записей в отчёте Автотеки,Оригинал,4+,Не битый,4.4 DCT (560 л.с.),4.4 л,Бензин,Робот,Задний,Базовая,Седан,Белый,Левый,WBS6*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X5 3.0 AT, 2004, 370 000 км","4,9",1170000,"Белгородская обл., Белгород, Белгородский пр-т",2004,E53 рестайлинг (2003—2007),370 000 км,12 записей в отчёте Автотеки,Оригинал,4+,Не битый,3.0i 3.0 AT (231 л.с.),3 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серебряный,Левый,5UXF*************,Возможен,,,,,,,,,,,,,Кожаный руль,,,,,,,,,,,,,Цвет салона,Мультимедиа и навигация,,,,,
"BMW X6 3.0 AT, 2010, 175 000 км","4,7",2090000,"Нижегородская обл., Нижний Новгород, ул. Коминтерна, 117А",2010,E71 (2007—2012),175 000 км,30 записей в отчёте Автотеки,Дубликат,3,Не битый,35i 3.0 AT (306 л.с.),3 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,X4XF*************,Не интересует,,,,,Иммобилайзер,,,Климат-контроль многозонный,Атермальное остекление,Гидравлический,,,,,,,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2019, 117 000 км","4,9",3390000,"Москва, Украинский б-р, 5",2019,G20/G21 (2018—2023),117 000 км,2 записи в отчёте Автотеки,,1,Не битый,320d 2.0 AT (190 л.с.),2 л,Дизель,Автомат,Задний,M Sport,Седан,Чёрный,Левый,WBA5*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW M3 3.0 AT, 2022, 14 000 км","4,7",14500000,"Республика Крым, г.о. Ялта, пгт. Виноградное, ул. Красина, 15",2022,G80 (2020—2024),14 000 км,2 записи в отчёте Автотеки,,2,Не битый,3.0 xDrive AT (510 л.с.),3 л,Бензин,Автомат,Полный,Competition,Седан,Серый,Левый,WBS1*************,Не интересует,,,,,,,,,,,,,Кожаный руль,,,,,Передних сидений,,,,,,,,,,Зеркал,,,,
"BMW X5 4.4 AT, 2003, 180 000 км","4,7",700000,"Свердловская обл., Арамильский г.о., Арамиль",2003,E53 (1999—2003),180 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,4.4i 4.4 AT (286 л.с.),4.4 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WBAF*************,Не интересует,,,,,Центральный замок,,,Управление на руле,,,,,Кожа,Люк,,,,,,,,,,,,,,,,,,
"BMW X5 3.0 AT, 2007, 345 700 км","4,8",1700000,"Республика Татарстан, Альметьевский р-н, муниципальное образование Город Альметьевск, Альметьевск, ул. Юнуса Аминова, 9А",2007,E70 (2006—2010),345 700 км,17 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.0d 3.0 AT (235 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WBAF*************,Не интересует,,,,,Сигнализация,,,Климат-контроль многозонный,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 2.0 AT, 1995, 400 000 км","4,7",700000,"Республика Дагестан, Дербент, Озёрная ул.",1995,E34 (1988—1996),400 000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,520i 2.0 AT (150 л.с.),2 л,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,WBAH*************,Не интересует,,,,,,,,Кондиционер,,Гидравлический,,,Кожаный руль,,,,,,,,,,,,,Электростеклоподъемники,,,Электропривод,,,
"BMW X1 2.0 AT, 2012, 123 273 км","4,5",1109000,"Тульская обл., Тула, Октябрьская ул., 290",2012,E84 рестайлинг (2012—2015),123 273 км,26 записей в отчёте Автотеки,,3,Не битый,18i 2.0 sDrive AT (150 л.с.),2 л,Бензин,Автомат,Задний,Базовая,Внедорожник 5-дверный,Оранжевый,Левый,X4XV*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 2.0 AT, 2012, 169 103 км","4,8",1789000,"Ростовская обл., Аксайский р-н, Аксайское городское поселение, Аксай, Аксайский пр-т, 19",2012,F10/F11 (2009—2013),169 103 км,39 записей в отчёте Автотеки,,4+,Не битый,528i 2.0 xDrive AT (245 л.с.),2 л,Бензин,Автомат,Полный,,Седан,Серый,Левый,X4XX*************,,,,,,Сигнализация,,,Климат-контроль многозонный,,Гидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW X6 3.0 AT, 2022, 35 000 км","4,8",6500000,"Республика Татарстан, Казань, ул. Баумана",2022,G06 (2019—2023),35 000 км,,Оригинал,1,Не битый,40i 3.0 Steptronic (340 л.с.),3 л,Бензин,Автомат,Полный,M Sport Pure,Внедорожник 5-дверный,Синий,Левый,5UXC*************,Не интересует,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,Экстренное торможение,Управление климатом,
"BMW X5 3.0 AT, 2007, 430 000 км","4,8",1350000,"Калининградская обл., Калининград, Майская ул., 4",2007,E70 (2006—2010),430 000 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,30i 3.0 AT (264 л.с.),3 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,4USF*************,Не интересует,Передние и задние,,,,,,,Климат-контроль многозонный,,Гидравлический,,,,,,Складывания зеркал,,,Передних сидений,,,,,,,,,,,,,
"BMW X5 3.0 AT, 2020, 62 000 км","4,8",8750000,"Минск, пр-т Победителей, 125",2020,G05 (2018—2023),62 000 км,Проверить в Автотеке,Электронный,1,Не битый,M50d 3.0 xDrive Steptronic (400 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,WBAC*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 4 серия 2.0 AT, 2021, 77 000 км","5,0",5150000,"Челябинская обл., Челябинск, пл. Революции",2021,G22/G23 (2020—2024),77 000 км,31 запись в отчёте Автотеки,Оригинал,3,Не битый,420i 2.0 xDrive Steptronic (184 л.с.),2 л,Бензин,Автомат,Полный,M Sport Edition 21,Купе,Синий,Левый,WBA4*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X3 2.5 AT, 2004, 217 000 км","4,9",1100000,"Пензенская обл., Пенза, ул. Аустрина",2004,E83 (2003—2006),217 000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,25i 2.5 AT (192 л.с.),2.5 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Бордовый,Левый,WBXP*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 7 серия 2.0 AT, 2018, 75 000 км","4,9",5100000,"Краснодарский край, Краснодар, ул. Архитектора Ишунина, 1",2018,G11/G12 (2015—2019),75 000 км,39 записей в отчёте Автотеки,Электронный,3,Не битый,730i 2.0 Steptronic (249 л.с.),2 л,Бензин,Автомат,Задний,M Sport SE,Седан,Белый,Левый,WBA7*************,Возможен,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Электрогидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
"BMW X5 3.0 AT, 2012, 202 250 км","4,9",2600000,"Пермский край, Пермь, ул. Академика Веденеева, 31",2012,E70 рестайлинг (2010—2013),202 250 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,40d 3.0 AT (306 л.с.),3 л,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Чёрный,Левый,X4XZ*************,Возможен,,,,,,Фронтальные,Шторки,Климат-контроль многозонный,Атермальное остекление,Электрогидравлический,,Боковые задние,,,,,,,,,,,,,,,,,,,,
"BMW X7 3.0 AT, 2020, битый, 62 000 км","4,9",150000,"Москва, Дмитровское ш., 163с5",2020,G07 (2018—2022),62 000 км,15 записей в отчёте Автотеки,Оригинал,1,Битый,30d 3.0 xDrive Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,M Sport Plus,Внедорожник 5-дверный,Белый,Левый,X4XC*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 5 серия 2.0 AT, 2020, 89 488 км","5,0",4250000,"Москва, Центральный административный округ, Пресненский район",2020,G30/G31 рестайлинг (2020—2024),89 488 км,,Электронный,1,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,M Sport Pure,Седан,Чёрный,Левый,WBA5*************,Не интересует,,,,,,Фронтальные,Шторки,Климат-контроль многозонный,,Электрогидравлический,,Боковые задние,,,,,,,,,,,,,,,,,,,,
"BMW 4 серия Gran Coupe 3.0 AT, 2022, 9 800 км",Отсутствует,5850000,"Москва, Каширское ш., 65к3",2022,G26 (2020—2024),9 800 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,M440i 3.0 xDrive Steptronic (387 л.с.),3 л,Бензин,Автомат,Полный,M Special,Лифтбек,Чёрный,Левый,WBA1*************,Возможен,,,,,,,,Климат-контроль многозонный,Противоугонная система,Гидравлический,,,,,,,,,,,,,,,,,,,,,,Центральный замок
"BMW 5 серия 3.0 AT, 2011, 299 000 км","4,8",1920000,"Республика Дагестан, Хасавюрт, Пятнадцатая ул., 4",2011,F10/F11 (2009—2013),299 000 км,16 записей в отчёте Автотеки,Оригинал,4+,Не битый,528i 3.0 AT (258 л.с.),3 л,Бензин,Автомат,Задний,Luxury,Седан,Белый,Левый,X4XF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 7 серия 4.0 AT, 2007, 192 000 км","4,6",860000,"Московская обл., Коломна, ул. Астахова, 4к5",2007,E65/E66 рестайлинг (2005—2008),192 000 км,21 запись в отчёте Автотеки,Дубликат,4+,Не битый,740Li 4.0 AT (306 л.с.),4 л,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,WBAH*************,Не интересует,,,,,Сигнализация,,,Климат-контроль многозонный,Атермальное остекление,Гидравлический,,,,,,,,,,,,Иммобилайзер,,,,,,,,,,
